Question,Answer
"형제가 산재를 당해 차량을 구입해야 하는데, 어떻게 지원 신청을 하면 좋을까요?","산재근로자가 차량 구입이 필요한 경우에는 산재근로자 생활안정자금 융자 제도를 통해 최대 1,500만 원의 차량구입 자금을 융자로 지원받을 수 있습니다. 필요 서류와 신청 방법은 근로복지공단 또는 근로복지서비스 누리집을 통해 확인할 수 있습니다. 이와 관련한 제도는 산재근로자 생활안정자금 융자입니다. 참고해주세요."
해외에서 돌아온 후 산재근로자 생활안정자금 융자 제도를 이용할 수 있을까요?,"국내 거주 중인 산재근로자분이라면 생활안정자금 융자 제도의 혜택을 받을 수 있지만, 외국인이나 재외동포는 제외 대상입니다. 자세한 자격 요건과 신청 조건은 근로복지서비스 누리집에서 확인하실 수 있습니다. 이와 관련한 제도는 산재근로자 생활안정자금 융자입니다. 참고해주세요."
산재로 인해 결혼을 앞둔 딸을 위한 혼례비용이 부족해졌어요. 어떻게 해야 하나요?,"혼례비용에 어려움을 겪고 계신 산재근로자 분은 산재근로자 생활안정자금 융자를 통해 최대 1,000만 원까지 혼례비를 융자로 지원받을 수 있습니다. 신청 방법 및 자세한 정보는 근로복지서비스 누리집에서 확인 가능합니다. 이와 관련한 제도는 산재근로자 생활안정자금 융자입니다. 참고해주세요."
산재를 당해서 사업을 다시 시작하고 싶은데 초기 자금을 어떻게 마련할 수 있을까요?,"산재를 당해 사업자금이 필요한 경우 산재근로자 생활안정자금 융자를 통해 사업자금 융자를 신청할 수 있습니다. 제도를 이용하여 최대 1,500만 원까지 지원받을 수 있으며, 자세한 신청 절차는 근로복지공단을 통해 안내받으실 수 있습니다. 이와 관련한 제도는 산재근로자 생활안정자금 융자입니다. 참고해주세요."
"산업현장에서 다쳐서 병원에 입원해야 할 경우, 치료와 관련된 비용은 어떻게 지원받을 수 있나요?","업무 중 다쳐서 입원해야 한다면, 요양급여를 통해 진찰, 약제 및 진료재료, 의지와 보조기 지급, 치료비 등을 지원받을 수 있습니다. 이와 관련한 제도는 산업재해 보상보험 제도입니다. 참고해주세요."
업무상 재해로 일을 못하게 되면 생활비는 어떻게 마련하게 되나요?,업무상 재해로 일을 할 수 없게 되면 휴업급여를 통해 평균 임금의 70%를 지급받습니다. 이와 관련한 제도는 산업재해 보상보험 제도입니다. 참고해주세요.
회사에서 일하다가 부상을 당하고 장기적인 후유장애가 생겼어요. 어떤 보상을 받을 수 있나요?,"질병 치료가 끝난 후에도 장해 상태가 남아 있다면, 장해급여로 연금이나 일시금을 지급받을 수 있습니다. 장해 등급에 따라 지급액이 달라집니다. 이와 관련한 제도는 산업재해 보상보험 제도입니다. 참고해주세요."
제가 다닌 사업장이 갑자기 폐업을 하면서 산재보험에 가입되어 있지 않은 상태에서 다쳤습니다. 이럴 때도 지원을 받을 수 있나요?,사업장이 산재보험에 가입되어 있지 않더라도 산재보험이 적용되는 사업장이면 산재보상을 받을 수 있습니다. 산재보험 신청 절차를 밟으시면 됩니다. 이와 관련한 제도는 산업재해 보상보험 제도입니다. 참고해주세요.
회사에 다닌 지 3달 만에 업무 중 사고로 사망하셨습니다. 유족으로서 받을 수 있는 보상은 무엇인가요?,"근로자가 산업재해로 사망한 경우, 유족급여를 지급받으실 수 있는데, 그 형태는 주로 연금이며, 연금 수급권자가 없을 때는 일시금으로 지급됩니다. 이와 관련한 제도는 산업재해 보상보험 제도입니다. 참고해주세요."
"산업재해를 당해 장기간 치료 중인데, 치료에 필요한 기간 동안 소득 지원은 어떻게 이루어지나요?","중증 상병으로 장기간 치료가 필요한 경우에는 상병보상연금을 지원받을 수 있으며, 그 외에도 장례비 지원과 직업훈련지원비 등 다양한 지원이 이루어집니다. 이와 관련한 제도는 산업재해 보상보험 제도입니다. 참고해주세요."
혹시 사업주가 산재보험 급여 신청을 막거나 동의하지 않으면 어떻게 되나요?,사업주의 동의 없이 근로자 본인이 직접 요양급여 신청서를 작성하여 관할 근로복지공단 지사에 제출함으로써 산재보험급여 신청이 가능합니다. 이와 관련한 제도는 산업재해 보상보험 제도입니다. 참고해주세요.
사업장에서 일어난 사고로 인해 간병이 필요한 상황이 발생했습니다. 어떤 지원을 받을 수 있나요?,사고로 인한 후유증으로 간병이 필요한 경우 간병급여를 통해 지원을 받을 수 있습니다. 이와 관련한 제도는 산업재해 보상보험 제도입니다. 참고해주세요.
업무 상 재해로 인한 산업재해 급여의 신청은 어떻게 해야 하나요?,산업재해로 인한 각종 급여는 근로복지공단 지사를 방문하셔서 신청하실 수 있습니다. 이와 관련한 제도는 산업재해 보상보험 제도입니다. 참고해주세요.
"'장해'의 정의는 무엇인가요, 그리고 어떤 상태를 가리키나요?",'장해'란 업무상 부상이나 질병으로 치료가 끝난 후에도 정신적 또는 육체적 손상으로 인해 노동능력이 상실되거나 감소된 상태를 말합니다. 이와 관련한 제도는 산업재해 보상보험 제도입니다. 참고해주세요.
한국에서 체류하고 있는데 한국어와 한국문화를 배울 수 있는 프로그램이 있다고 들었어요. 어떤 게 있나요?,국내에 체류하는 등록외국인을 위해 한국어 및 한국문화 교육과정이 포함된 사회통합프로그램(KIIP)이 제공됩니다. 이와 관련한 제도는 사회통합프로그램입니다. 참고해주세요.
"국적 취득을 앞둔 외국인인데, 사회통합프로그램에 참여하면 어떤 이점이 있나요?","사회통합프로그램의 이수자는 귀화, 영주, 체류자격 변경 시 혜택을 부여받을 수 있습니다. 이와 관련한 제도는 사회통합프로그램입니다. 참고해주세요."
한국에서 살기 위해 알아야 할 기본적인 사회 정보는 어디서 배울 수 있을까요?,사회통합프로그램에는 한국사회에 대한 이해를 돕는 과정이 포함되어 있어 최대 100시간의 교육을 받을 수 있습니다. 이와 관련한 제도는 사회통합프로그램입니다. 참고해주세요.
사회통합프로그램을 어떻게 신청할 수 있나요?,사회통합프로그램은 사회통합정보망 누리집을 통해 신청하실 수 있습니다. 이와 관련한 제도는 사회통합프로그램입니다. 참고해주세요.
사회통합프로그램 수강 시 제공되는 한국어 교육 시간은 얼마나 되나요?,사회통합프로그램에서는 최대 415시간의 한국어 교육을 제공합니다. 이와 관련한 제도는 사회통합프로그램입니다. 참고해주세요.
외국인으로서 사회통합프로그램 외에도 한국문화를 배울 수 있는 다른 방법이 있을까요?,사회통합프로그램을 통해 한국문화에 관한 교육을 받는 것이 제공되는 주요 방법 중 하나입니다. 이와 관련한 제도는 사회통합프로그램입니다. 참고해주세요.
현재 거주 지역 내에서 사회통합프로그램을 수강할 수 있는 곳을 어떻게 알아볼 수 있나요?,"전국의 법무부 지정 사회통합프로그램 운영 기관에서 수강 가능하며, 구체적인 기관은 사회통합정보망 누리집에서 확인하실 수 있습니다. 이와 관련한 제도는 사회통합프로그램입니다. 참고해주세요."
내가 사회통합프로그램의 대상자인지 어떻게 알 수 있을까요?,"사회통합프로그램은 국내에 체류하는 등록외국인이라면 누구나 대상이 되며, 3년 이내 한국 국적을 취득한 사람도 포함됩니다. 이와 관련한 제도는 사회통합프로그램입니다. 참고해주세요."
사회통합프로그램과 관련하여 궁금한 점이 있다면 어떻게 문의할 수 있나요?,사회통합프로그램에 대한 문의는 사회통합정보망 누리집 또는 외국인종합안내센터(☎1345)를 이용해 문의하실 수 있습니다. 이와 관련한 제도는 사회통합프로그램입니다. 참고해주세요.
국내에 살고 있는 외국인이 사회통합프로그램을 반드시 이수해야 하나요?,사회통합프로그램은 의무적인 프로그램은 아니지만 참여하여 이수하면 체류자격 변경 시 혜택을 받을 수 있는 등의 이득이 있습니다. 이와 관련한 제도는 사회통합프로그램입니다. 참고해주세요.
노숙인이 병원에서 치료를 받을 수 있지만 의료보험이 없어서 걱정이라면 어떻게 해야 하나요?,"의료보험이 없는 노숙인의 경우 시도 의료지원사업 담당부서나 사업수행 의료기관에 의료비 지원을 신청할 수 있습니다. 지원 한도는 진료비의 전액으로, 1회 최대 500만 원까지 가능합니다. 이와 관련한 제도는 외국인근로자 등 의료지원입니다. 참고해주세요."
"제 배우자가 외국인근로자인데, 아플 때 병원 진료비를 어떻게 지원받을 수 있나요?","외국인근로자의 배우자도 의료지원 대상에 포함되며, 진료비 지원 신청은 거주지역의 시도 의료지원사업 담당부서 또는 지정된 의료기관에 하시면 됩니다. 지원은 입원부터 퇴원까지 발생한 비용에 한해서며, 1회 500만 원을 한도로 받으실 수 있습니다. 이와 관련한 제도는 외국인근로자 등 의료지원입니다. 참고해주세요."
국적을 취득하기 전인 결혼이민자나 그 자녀가 응급상황에서 입원이 필요하다면 어떤 도움을 받을 수 있나요?,"의료보장제도에 가입되지 않은 결혼이민자나 그 자녀는 응급상황 시 의료지원 대상이 될 수 있습니다. 입원부터 퇴원까지의 진료비를 지원받기 위해선 시도 의료지원사업 담당부서나 지정 의료기관에 신청 가능하며, 한 번에 최대 500만 원까지 지원받으실 수 있습니다. 이와 관련한 제도는 외국인근로자 등 의료지원입니다. 참고해주세요."
"난민 신분으로 한국에 거주 중인데, 아픈 자녀의 병원비를 어떻게 해결할 수 있나요?","만 18세 미만의 난민 자녀는 건강보험이나 의료급여와 같은 보험 혜택을 받을 수 없을 때 별도의 의료지원을 신청할 수 있습니다. 관련된 진료비는 입원부터 퇴원 시까지 지원되며, 1회에 한해 최대 500만 원까지 지원 가능합니다. 지원 신청은 관할 시도 의료지원사업 담당부서나 지정 의료기관에 하면 됩니다. 이와 관련한 제도는 외국인근로자 등 의료지원입니다. 참고해주세요."
결혼이민자가 건강보험에 가입할 수 있는 상태에서도 의료비 지원을 받을 수 있을까요?,건강보험이나 의료급여 등 기존 의료보장제도에 가입할 수 있는 결혼이민자는 기본적으로 이 의료비 지원 대상에서 제외됩니다. 이 제도는 기존 의료보장 제도의 혜택을 받을 수 없는 경우에만 해당됩니다. 이와 관련한 제도는 외국인근로자 등 의료지원입니다. 참고해주세요.
난민 신청자가 아플 때 의료비용이 지원되나요?,"난민 신청자는 건강보험이나 의료급여 등의 보장을 받지 못할 경우 의료비 지원을 신청할 수 있습니다. 지원은 입원부터 퇴원까지 발생하는 진료비에 대해 이루어지며, 최대 500만 원까지 지원받을 수 있습니다. 신청은 거주지의 시도 의료지원사업 담당부서 또는 지정 의료기관을 통해 가능합니다. 이와 관련한 제도는 외국인근로자 등 의료지원입니다. 참고해주세요."
국립중앙의료원 공공보건의료지원센터에 어떤 상황에서 문의를 해야 하나요?,"의료비 지원에 관한 보다 상세한 정보 또는 의료지원사업에 대한 문의가 있을 경우, 국립중앙의료원 공공보건의료지원센터로 문의하시면 됩니다. 이와 관련한 제도는 외국인근로자 등 의료지원입니다. 참고해주세요."
만 18세 미만 자녀의 외래진료비도 지원받을 수 있나요?,"만 18세 미만 자녀의 경우, 산전 진찰이나 필요한 외래진료비도 지원 받을 수 있습니다. 자세한 사항은 시도 의료지원사업 담당부서나 지정 의료기관에 문의하여 지원 가능 여부를 확인하실 수 있습니다. 이와 관련한 제도는 외국인근로자 등 의료지원입니다. 참고해주세요."
보건복지상담센터에서 제공하는 서비스에는 어떤 것이 있나요?,"보건복지상담센터에서는 외국인근로자 등 의료지원 제도와 관련된 다양한 상담 서비스를 제공합니다. 의료비 지원 신청 절차, 대상 여부 등에 관한 정보를 문의할 수 있습니다. 이와 관련한 제도는 외국인근로자 등 의료지원입니다. 참고해주세요."
외국인근로자가 수술을 받아야 할 상황인데 의료보장제도 혜택을 받을 수 없다면 어떻게 해야 하죠?,"해당 외국인근로자는 의료보장제도의 혜택을 받지 못할 경우, 각 시도 의료지원사업을 통해 수술을 포함한 입원비용의 지원을 신청할 수 있습니다. 지원 금액은 입원에서부터 퇴원까지 발생한 진료비에 대해 최대 500만 원까지 가능합니다. 신청 방법과 자세한 내용은 담당 부서나 지정 의료기관에 문의하시면 됩니다. 이와 관련한 제도는 외국인근로자 등 의료지원입니다. 참고해주세요."
출소 후 살 곳이 없는데 어떤 도움을 받을 수 있나요?,출소자를 위한 숙식 제공 서비스를 지원받으실 수 있습니다. 이와 관련한 제도는 출소자 등 자립 지원입니다. 참고해주세요.
제가 곧 출소하는데 직업 훈련이나 취업 관련 지원을 해주는 곳이 있을까요?,"직업훈련과 취업 알선, 그리고 창업 지원 등 다양한 취업 지원 서비스를 이용하실 수 있습니다. 이와 관련한 제도는 출소자 등 자립 지원입니다. 참고해주세요."
출소 예정인데 가족들이 재정적으로 어려워서 미성년 자녀의 학업을 걱정하고 있어요. 어떻게 해야 하나요?,미성년 자녀 학업 지원을 포함하여 가족 지원 서비스가 있으므로 이를 신청해보실 수 있습니다. 이와 관련한 제도는 출소자 등 자립 지원입니다. 참고해주세요.
출소 후 정신적으로 많이 불안정한 상태인데 상담을 받을 수 있나요?,심리상담 및 치료 서비스를 제공받으실 수 있습니다. 출소 예정자를 위한 사전상담도 가능합니다. 이와 관련한 제도는 출소자 등 자립 지원입니다. 참고해주세요.
"전과자로써 사회적 편견 때문에 일자리를 구하는 게 힘든데, 이에 대한 도움을 받을 수 있는 곳이 있나요?",허그일자리지원과 같은 취업 지원 프로그램을 이용하실 수 있습니다. 이와 관련한 제도는 출소자 등 자립 지원입니다. 참고해주세요.
"출소 후 주민등록 재등록 등 행정적인 문제를 해결하고 싶은데, 어디서 도와줄 수 있나요?",주민등록 재등록을 포함한 기타 자립 지원 서비스를 받을 수 있습니다. 이와 관련한 제도는 출소자 등 자립 지원입니다. 참고해주세요.
"제가 출소를 앞두고 있는데, 가족과 함께 할 수 있는 프로그램이 있을까요?","가족친화 프로그램에 참여하실 수 있으며, 가족캠프와 문화체험 같은 활동도 제공됩니다. 이와 관련한 제도는 출소자 등 자립 지원입니다. 참고해주세요."
"출소 후 결혼을 계획하고 있는데, 이에 대한 지원이 있나요?",결혼 지원 서비스를 받으실 수 있습니다. 이는 가족 지원의 일부입니다. 이와 관련한 제도는 출소자 등 자립 지원입니다. 참고해주세요.
"개인적으로 의료적인 문제가 있어서 건강검진이나 의료지원이 필요한데, 어떻게 신청하나요?",의료 지원 및 건강검진 서비스를 법무보호복지공단을 통해 신청하실 수 있습니다. 이와 관련한 제도는 출소자 등 자립 지원입니다. 참고해주세요.
제가 석방된 후 문화 생활을 경험하고 싶어요. 문화체험이 가능한 프로그램이 있나요?,가족 친화 프로그램의 일환으로 문화체험이 가능합니다. 이를 통해 다양한 문화 활동을 체험하실 수 있습니다. 이와 관련한 제도는 출소자 등 자립 지원입니다. 참고해주세요.
만약 어업에 종사하고 있고 나이가 60세인 사람은 정부 지원을 받아 안전보험에 가입할 수 있을까요?,"네, 만 15~87세 어업인이면서 어업에 종사하고 있다면, 어업인 안전보험에 가입할 자격이 있고 정부 지원으로 보험료의 일부를 절감할 수 있습니다. 이와 관련한 제도는 어업인 안전보험입니다. 참고해주세요."
어업인 안전보험을 신청하기 위해 방문해야 할 곳은 어디인가요?,어업인 안전보험을 신청하려면 전국 회원조합 영업점이나 SH수협 은행에 방문하여 신청하면 됩니다. 이와 관련한 제도는 어업인 안전보험입니다. 참고해주세요.
기초생활수급자인 어업 근로자는 어업인 안전보험에 가입할 경우 보험료 지원은 얼마나 받을 수 있나요?,기초생활수급자는 어업인 안전보험 보험료의 70%를 정부 지원을 받을 수 있습니다. 이와 관련한 제도는 어업인 안전보험입니다. 참고해주세요.
소금 생산 작업에 종사하고 있다면 어업인 안전보험에 가입 가능한가요?,"네, 소금제조 관련 종사자도 어업인 안전보험에 가입할 수 있는 대상에 포함됩니다. 이와 관련한 제도는 어업인 안전보험입니다. 참고해주세요."
어업인 안전보험에 대한 문의는 어디로 연락해야 하나요?,어업인 안전보험에 관한 문의는 전국 회원조합 영업점 또는 SH수협은행의 전화번호 1588-4119로 연락하시면 됩니다. 이와 관련한 제도는 어업인 안전보험입니다. 참고해주세요.
고등학생 자녀가 방학 동안 어업을 돕고자 합니다. 이 경우 자녀도 어업인 안전보험의 혜택을 받을 수 있나요?,"만약 자녀의 나이가 15세 이상이라면 어업인 안전보험에 가입할 수 있으며, 정부 지원 혜택도 받을 수 있습니다. 이와 관련한 제도는 어업인 안전보험입니다. 참고해주세요."
내가 노인복지시설에 거주하는 70세 어업인이라면 보험료 지원을 받을 수 있나요?,"네, 거주하는 시설과 관계없이 나이가 만 15~87세 범위 내인 어업인이라면 어업인 안전보험에 가입하고 정부의 보험료 지원을 받을 수 있습니다. 이와 관련한 제도는 어업인 안전보험입니다. 참고해주세요."
어업인 안전보험 가입 시에도 소득 수준에 따라 지원 금액이 달라지나요?,"네, 보통은 보험료의 50%를 정부에서 지원하지만, 기초생활수급자와 차상위계층에 해당되면 70%까지 지원받을 수 있습니다. 이와 관련한 제도는 어업인 안전보험입니다. 참고해주세요."
어업인 안전보험을 신청하려면 어떤 서류를 준비해야 하나요?,구체적인 서류 준비 사항은 전국 회원조합 영업점이나 SH수협 은행에 확인이 필요합니다. 가까운 영업점에 문의하여 필요한 서류에 대한 안내를 받으세요. 이와 관련한 제도는 어업인 안전보험입니다. 참고해주세요.
비정규직 어업근로자도 어업인 안전보험 가입이 가능한가요?,"네, 고용 형태에 관계없이 만 15~87세 범위 내의 어업인 또는 어업근로자라면 가입이 가능합니다. 이와 관련한 제도는 어업인 안전보험입니다. 참고해주세요."
산업재해를 당해서 안전보장구가 필요한 경우 공단에서 지원해 주는 부분이 있나요?,"네, 산업재해를 당한 근로자가 의학적으로 필요한 경우 재활보조기구 219개 품목에 대한 구입비용과 수리비용을 지원받을 수 있습니다. 이와 관련한 제도는 <<산재보험 요양급여(재활보조기구)>>입니다. 참고해주세요."
산재로 인해 팔다리에 문제가 생긴 근로자도 보조기구를 지원받을 수 있나요?,"예, 사지가 절단되었거나 신경마비 증상이 있는 근로자가 계속해서 재활보조기구를 착용해야 할 의학적 필요가 있는 경우에 지원받을 수 있습니다. 이와 관련한 제도는 <<산재보험 요양급여(재활보조기구)>>입니다. 참고해주세요."
치료 중인데 지팡이나 목발이 필요해요. 산재에서 이를 지원받을 수 있나요?,치료 중에 하지골절 등으로 목발이나 지팡이가 필요하다는 의료적 소견이 있다면 산재보험에서 지원을 받을 수 있습니다. 이와 관련한 제도는 <<산재보험 요양급여(재활보조기구)>>입니다. 참고해주세요.
"척추질환이 있는데, 산재보험을 통해서 보조기를 받을 수 있을까요?",척추손상이나 척추질환 치료를 위해 의학적으로 보조기 착용이 필요한 경우 산재보험을 통해 지원을 받을 수 있습니다. 이와 관련한 제도는 <<산재보험 요양급여(재활보조기구)>>입니다. 참고해주세요.
산재보험에서 재활보조기의 수리비용도 지원하나요?,"네, 산재보험에서는 재활보조기구 219개 품목 중 수리가 필요한 118개 품목에 대한 수리비용도 지원합니다. 이와 관련한 제도는 <<산재보험 요양급여(재활보조기구)>>입니다. 참고해주세요."
산재로 상해를 입은 근로자가 재활보조기를 어떻게 신청할 수 있나요?,산재보험 의료기관 관할 지사 또는 지역본부의 재활보상부에 서면이나 온라인으로 신청할 수 있습니다. 이와 관련한 제도는 <<산재보험 요양급여(재활보조기구)>>입니다. 참고해주세요.
산재보험 요양급여의 재활보조기구 비용 지원 대상 품목은 몇 개나 되나요?,산재보험 요양급여는 총 219개 재활보조기 품목에 대한 구입비용과 수리비용을 지원합니다. 이와 관련한 제도는 <<산재보험 요양급여(재활보조기구)>>입니다. 참고해주세요.
회사에서 다치면서 관절이 손상되었어요. 산재보험을 통해 보조기를 받을 수 있을까요?,관절 손상으로 관절 운동 제한이 있거나 관절을 고정할 필요가 있을 때 산재보험에서 의학적으로 필요하다고 판단되면 보조기기 착용 지원을 받을 수 있습니다. 이와 관련한 제도는 <<산재보험 요양급여(재활보조기구)>>입니다. 참고해주세요.
재활보조기구에 필요한 서면 신청서는 어디로 보내야 하나요?,서면 신청서는 산재보험 의료기관이 속해 있는 관할 지사나 지역본부의 재활보상부로 제출하시면 됩니다. 이와 관련한 제도는 <<산재보험 요양급여(재활보조기구)>>입니다. 참고해주세요.
근로복지공단과 관련하여 문의할 때 어떤 연락처를 이용하면 되나요?,근로복지공단에 문의할 때는 전화번호 1588-0075를 이용하거나 근로복지공단 공식 웹사이트 www.comwel.or.kr에서 도움을 받을 수 있습니다. 이와 관련한 제도는 <<산재보험 요양급여(재활보조기구)>>입니다. 참고해주세요.
연근해 어선의 소유자가 부담해야 하는 보험료는 톤급에 따라 어떻게 지원되나요?,"연근해 어선의 소유자의 경우, 10톤 미만은 보험료의 70%를, 20톤 미만은 60%를, 30톤 미만은 60%를, 50톤 미만은 30%를, 100톤 미만은 20%를 지원받을 수 있으며, 부가보험료 같은 경우는 75%가 지원됩니다. 이와 관련한 제도는 <<어선원 및 어선 재해보상 보험>>입니다. 참고해주세요."
어선원보험에 가입하기 위한 과정은 어떻게 되나요?,어선원보험 가입을 위해서는 전국 회원조합 영업점 또는 SH수협은행에 직접 신청하면 됩니다. 이와 관련한 제도는 <<어선원 및 어선 재해보상 보험>>입니다. 참고해주세요.
만약 수산물을 운송하는 어선의 경우 어선원 및 어선 재해보상 보험의 혜택을 받을 수 있나요?,"아니요, 수산물 운송에 종사하는 어선은 해당 보험 지원 대상에서 제외되므로 혜택을 받을 수 없습니다. 이와 관련한 제도는 <<어선원 및 어선 재해보상 보험>>입니다. 참고해주세요."
"3톤 이상 어선 소유자가 어선 등록이나 승선 어선원 변경 시 어떤 절차를 취해야 하며, 기한은 어떻게 되나요?",3톤 이상 어선 소유자는 어선 등록이나 승선 어선원 변경 시 14일 이내에 관할 회원수협에 가입·변경신고를 해야 합니다. 기한 내 미 신고할 경우 불이익을 받을 수 있습니다. 이와 관련한 제도는 <<어선원 및 어선 재해보상 보험>>입니다. 참고해주세요.
어선원보험과 어선보험에서 제공하는 부가보험료 지원율이 다른가요?,"아니요, 어선원보험과 어선보험 모두 부가보험료의 경우 75%를 지원하고 있습니다. 이와 관련한 제도는 <<어선원 및 어선 재해보상 보험>>입니다. 참고해주세요."
원양어선 소유자도 어선원 및 어선 재해보상 보험 혜택을 받을 수 있나요?,"아니요, 원양어선 소유자는 해당 보험의 지원 대상에서 제외됩니다. 이와 관련한 제도는 <<어선원 및 어선 재해보상 보험>>입니다. 참고해주세요."
30톤 미만 어선의 소유자가 어선보험에 대한 지원을 받고자 할 때 지원율은 얼마인가요?,30톤 미만 어선의 소유자는 어선보험에 대해 지원을 받을 수 없습니다. 이와 관련한 제도는 <<어선원 및 어선 재해보상 보험>>입니다. 참고해주세요.
보험료 지지원에서 이야기하는 '부가보험료'란 무엇을 의미하나요?,'부가보험료'란 어선원과 어선에게 발생할 수 있는 추가적인 위험을 보장하기 위해 내야 하는 추가 보험료를 말합니다. 이 부가보험료는 75%의 지원을 받을 수 있습니다. 이와 관련한 제도는 <<어선원 및 어선 재해보상 보험>>입니다. 참고해주세요.
지역별로 제공되는 보험료 지원은 어떠한 차이가 있나요?,지역별로 보험료의 일부를 지방비로 추가 지원받을 수 있는 차이가 있습니다. 정확한 지원 조건과 금액은 해당 지역의 회원조합에 문의해야 합니다. 이와 관련한 제도는 <<어선원 및 어선 재해보상 보험>>입니다. 참고해주세요.
지원 대상에서 제외되는 어선의 종류에는 어떤 것들이 있나요?,지원 대상에서 제외되는 어선은 원양어선과 수산물 운송(해상화물운송)에 종사하는 어선입니다. 이와 관련한 제도는 <<어선원 및 어선 재해보상 보험>>입니다. 참고해주세요.
"북한에서 온 친구가 몸이 좀 아픈데, 병원비 지원 받을 수 있는 방법이 있을까요?","중위소득 120% 이하의 북한이탈주민이라면 병원 치료 시 발생한 본인부담금을 연 2회, 최대 300만 원까지 지원받을 수 있습니다. 만성이나 중증, 희귀난치성질환의 경우 연 최대 800만 원까지 지원 가능합니다. 이와 관련한 제도는 북한이탈주민 의료비 지원입니다. 참고해주세요."
북에서 넘어온 뒤 아픈 분들이 병원 갈 때 자기가 내야하는 비용 전액을 지원해주는 서비스가 있나요?,"네, 병원에서 입원이나 외래 치료를 받을 때 본인부담금이 10만 원 이상이면, 병에 따라 최대 300만 원 또는 800만 원까지 지원받을 수 있는 제도가 있습니다. 장기이식의 경우 생애 1회에 한하여 최대 1,000만 원까지 지원됩니다. 이와 관련한 제도는 북한이탈주민 의료비 지원입니다. 참고해주세요."
만성질병을 앓고 있는 탈북민이 의료비를 지원받으려면 어떻게 해야 하나요?,"만성, 중증 또는 희귀난치성질환을 앓고 있는 경우, 본인부담금이 월 10만 원 이상 발생하면 신청 횟수에 관계없이 지원받을 수 있으며, 연간 최대 800만 원까지 지원이 가능합니다. 장기이식의 경우 본인부담금 전액을 최대 1,000만 원까지 지원받을 수 있습니다. 이와 관련한 제도는 북한이탈주민 의료비 지원입니다. 참고해주세요."
외국에서 넘어온 사람들 중 아파서 병원 다니는데 비용이 많이 드는 경우 어떤 지원을 받을 수 있나요?,"북한에서 이탈해 온 주민이면서 중위소득 120% 이하인 경우, 병원에서 발생하는 본인부담금에 대해 연간 2회까지 전액 지원을 받을 수 있고, 만성 또는 중증질환으로 지속적인 치료가 필요한 경우에는 더 높은 금액의 지원을 받을 수 있습니다. 이와 관련한 제도는 북한이탈주민 의료비 지원입니다. 참고해주세요."
탈북 후 치료비가 부담되어요. 암 같은 중증질환 치료도 지원해주는지 궁금합니다.,"암과 같은 중증질환을 포함한 만성질환과 희귀난치성질환을 위한 의료비 지원이 가능합니다. 월 본인부담금이 10만 원 이상일 경우, 지원 제한 없이 연 최대 800만 원의 의료비를 지원받을 수 있습니다. 이와 관련한 제도는 북한이탈주민 의료비 지원입니다. 참고해주세요."
북한이탈주민이 한 해에 받을 수 있는 의료비 지원금액에 제한이 있나요?,"네, 일반질환의 경우 연 2회까지 본인부담금 전액을 지원받을 수 있으며, 연간 최대 지원 금액은 300만 원입니다. 만성·중증·희귀난치성질환의 경우 연간 최대 800만 원까지 지원 가능하며, 일반질환과 합산하여도 연 최대 800만 원을 초과할 수 없습니다. 이와 관련한 제도는 북한이탈주민 의료비 지원입니다. 참고해주세요."
북한에서 온 사람들이 병원 가면 무조건 의료비 지원을 받을 수 있나요?,"의료비 지원은 중위소득 120% 이하의 북한이탈주민에 한하여 이루어집니다. 일반질환의 경우 연 2회, 만성 또는 중증질환은 신청 횟수에 제한 없이 지원을 받을 수 있으나, 지원제외항목은 제외됩니다. 자세한 사항은 남북하나재단에 문의하시는 것이 좋습니다. 이와 관련한 제도는 북한이탈주민 의료비 지원입니다. 참고해주세요."
의료사회복지사에게 북한에서 온 사람의 의료비 지원에 대해 문의하려면 어떻게 해야 하나요?,"병원 내에 있는 의료사회복지사에게 문의하거나, 하나센터를 통해 북한이탈주민 의료비 지원에 대한 신청 절차를 안내받을 수 있습니다. 이와 관련한 제도는 북한이탈주민 의료비 지원입니다. 참고해주세요."
"탈북민의 장기이식 수술비도 지원해준다고 하던데, 지원 범위가 어떻게 되나요?","장기이식의 경우 생애 한 번에 한해 본인부담금의 100%를 지원하며, 지원 금액은 최대 1,000만 원 이내입니다. 장기 기증자가 북한이탈주민일 경우에는 중증질환 지원 기준으로 최대 800만 원까지 지원 받을 수 있습니다. 이와 관련한 제도는 북한이탈주민 의료비 지원입니다. 참고해주세요."
의료비 지원을 받고 싶은 북한이탈주민이 있는데 연락할 수 있는 기관이 어디인가요?,남북하나재단에 전화하여 의료비 지원과 관련된 정보와 신청에 필요한 안내를 받을 수 있습니다. 연락처는 1577-6635입니다. 이와 관련한 제도는 북한이탈주민 의료비 지원입니다. 참고해주세요.
"직장에서 다쳐서 장기간 요양이 필요할 때, 원래 일하던 곳으로 돌아가고 싶어요. 어떤 지원을 받을 수 있나요?","요양 종결 후 장해가 생기거나 6개월 이상의 장기요양을 요하는 경우, 재활서비스 지원을 통해 원직장으로 복귀할 수 있는 지원을 받을 수 있습니다. 이에는 재활 상담, 집중재활치료, 직업능력평가, 작업능력강화훈련, 직장동료 화합프로그램, 사업주 상담 등이 포함됩니다. 이와 관련한 제도는 산재근로자 직장복귀 지원입니다. 참고해주세요."
