,Question,Answer,Documents
160,생계급여 수급자가 초고속인터넷 요금 감면을 받으려면 어떻게 해야 하나요?,생계급여 수급자는 초고속인터넷 월 이용료를 30% 감면 받을 수 있습니다. 감면을 받기 위해서는 이동통신사 대리점 또는 통신사 고객센터로 문의해 신청하실 수 있습니다.,기초생활수급자를 위한 요금감면제도
161,한국전력공사에서 TV 수신료 면제를 받으려면 어떻게 해야 하나요?,"TV 수신료 면제는 생계급여 및 의료급여 수급자에게 해당되며, 한국전력공사 또는 KBS수신료콜센터로 연락하여 신청하실 수 있습니다. KBS수신료콜센터의 전화번호는 1588-1801입니다.",기초생활수급자를 위한 요금감면제도
162,통신요금감면을 받으려면 어디에서 신청할 수 있나요?,"통신요금감면 신청은 가까운 통신사 대리점 또는 해당 통신사의 온라인 웹사이트, 고객센터를 통해 할 수 있습니다. 편리한 방법을 선택하여 신청하시면 됩니다.",기초생활수급자를 위한 요금감면제도
163,통신요금감면 대상자가 변동이 없을 경우 갱신 절차는 어떻게 이루어지나요?,"대상자의 자격 변동이 없을 경우, 별도의 갱신 절차는 필요 없으며 통신요금감면은 지속적으로 적용됩니다. 다만, 주기적으로 자격 확인 절차가 있을 수 있으니 이때 필요한 정보를 제공해야 할 수도 있습니다.",기초생활수급자를 위한 요금감면제도
164,통신요금감면제도의 금액은 어느 정도인가요?,"통신요금감면제도의 감면 금액은 사용하는 서비스 종류와 통신사 정책에 따라 다르며, 자세한 내용은 신청 시 통신사를 통해 안내받으실 수 있습니다.",기초생활수급자를 위한 요금감면제도
165,기초생활수급자가 아닌 경우에도 통신요금감면 혜택을 받을 수 있나요?,"통신요금감면은 기초생활수급자에 한하여 제공되는 제도이므로, 일반 사용자는 이 혜택을 받을 수 없습니다. 다만, 통신사별로 다른 할인 프로그램이나 요금제를 제공하고 있을 수 있으므로 참고하시기 바랍니다.",기초생활수급자를 위한 요금감면제도
166,"통신요금감면 자격이 만료되었을 경우, 재신청은 어떻게 해야 하나요?","자격이 만료되었을 경우, 기존과 동일한 방법으로 통신요금감면 재신청을 하셔야 합니다. 통신사에 직접 연락하여 자격 재갱신 절차를 안내받으신 후 진행하시면 됩니다.",기초생활수급자를 위한 요금감면제도
167,통신요금감면의 적용 범위는 어디까지인가요?,"통신요금감면은 기본적으로 휴대폰 요금 및 인터넷 요금에 대해 적용됩니다. 다만 패키지 상품이나 추가 서비스에 대한 감면은 통신사의 정책에 따라 다를 수 있으므로, 신청 전 해당 내용을 확인하시는 것이 좋습니다.",기초생활수급자를 위한 요금감면제도
168,"갑작스런 사고로 인해 생계유지에 어려움을 겪고 있는데, 어떤 복지 혜택을 받을 수 있나요?","긴급 주거지원은 생계유지가 곤란해진 저소득 가구를 대상으로 긴급복지지원법에 의거하여 지원합니다. 주소득자의 사망이나 화재, 자연재해 등 갑작스러운 위기 상황이 발생했다면 해당 지원을 신청해 볼 수 있습니다.",긴급 주거지원
169,우리 집이 최근 화재로 인해 살 곳을 잃었어요. 긴급하게 지원받을 수 있는 방법이 있을까요?,"네, 화재로 인한 위기 상황에 처한 경우 긴급 주거지원 대상이 될 수 있습니다. 저소득 가구에 한하여 긴급복지지원법에 따라 지원을 받기 위해 먼저 긴급지원대상자로 선정되어야 합니다.",긴급 주거지원
170,"자연재해로 인해 소득을 잃은 이웃이 있는데, 긴급복지지원을 신청할 자격이 되나요?","자연재해로 인해 생계가 어려워진 경우, 긴급 주거지원이 가능한 경우가 있습니다. 저소득 가정으로 긴급복지지원법의 지원 대상자 조건을 충족한다면 신청을 고려해 볼 수 있습니다.",긴급 주거지원
171,이번 태풍으로 집이 크게 손상되어 임시 거처가 필요한 상황입니다. 어떻게 도움을 받을 수 있나요?,"태풍으로 인한 주거 손상은 긴급 주거지원의 사유에 해당할 수 있습니다. 저소득 가구 및 긴급복지지원법에 근거한 지원 대상자로 선정되어야 하며, 관할 구청이나 동사무소에 문의하여 신청 절차를 진행할 수 있습니다.",긴급 주거지원
172,어머니께서 갑작스럽게 돌아가셔서 경제적으로 매우 어려워졌습니다. 긴급한 성격의 지원을 받을 수 있는 방법이 있나요?,"고인이 주소득자였던 경우, 긴급 주거지원 대상으로 고려될 수 있으며, 긴급복지지원법에 의해 지원받기 위한 절차를 밟으셔야 합니다. 긴급복지지원법을 찾아보고 가까운 복지관에 문의해보세요.",긴급 주거지원
173,아버지께서 최근 사고로 인해 돌아가셨는데 가족의 생계에 큰 문제가 생겼어요. 이런 경우 어떤 정부 지원을 신청할 수 있을까요?,"부고를 드립니다. 상황이 긴급 주거지원의 조건에 부합하므로, 저소득 가구 내에서 주소득자의 사망으로 인한 경제적 어려움을 겪고 계시다면 해당 제도를 통해 지원받을 수 있습니다. 관련 절차는 가까운 복지센터나 정부기관을 통해 확인하실 수 있습니다.",긴급 주거지원
174,긴급하게 주거지를 구해야 하는데 어떤 방식으로 도움을 받을 수 있나요?,긴급 주거지원 제도를 통해 매입임대나 전세임대 주택에 입주할 자격을 얻을 수 있습니다. 자격 기준과 신청 방법은 관련 기관에 문의하시기 바랍니다.,긴급 주거지원
175,정부에서 제공하는 임시 주택에 들어가기 위해 필요한 조건이 뭐에요?,"정부의 긴급 주거지원 제도에는 소득 수준, 가구원 수, 주거 위기 상황 등 여러 가지 입주 기준이 있습니다. 해당 기준이 충족되면 매입임대나 전세임대 주택으로 임시 거처를 제공받을 수 있습니다.",긴급 주거지원
176,"집을 잃고 급히 살 곳을 찾고 있는데, 정부에서 받을 수 있는 주거 지원은 어떤 것이 있나요?",긴급 주거지원 제도에서는 매입임대와 전세임대 주택을 제공해 위기 상황에 처한 분들께 안정적인 주거 환경을 지원합니다. 신청 자격이 되는지 바로 확인해보시기 바랍니다.,긴급 주거지원
177,"제가 주거 문제로 경제적 어려움을 겪고 있는데, 어디에 도움을 요청할 수 있을까요?","긴급하게 주거 지원이 필요하신 경우, 현재 거주하고 계신 지역의 시군구청에 지원을 신청하실 수 있습니다. 신청 후 시군구청장이 지원 대상 여부를 판단하여 자격을 부여합니다.",긴급 주거지원
178,시군구청에 긴급 주거지원을 받기 위한 신청 절차는 어떻게 되나요?,긴급 주거지원을 받고자 하시면 먼저 관할 시군구청에 필요한 서류와 함께 지원 신청을 하셔야 합니다. 신청이 접수되면 해당 구청장의 심사를 통해 지원 자격이 부여됩니다.,긴급 주거지원
179,"긴급 주거지원을 신청했을 때, 어떤 과정을 거쳐서 지원 여부가 결정되나요?",긴급 주거지원 신청을 하신 후에는 관련 서류 검토와 사정을 통해 시군구청장에 의해 지원 대상으로 인정되는 과정을 거치게 됩니다. 인정이 되면 그 후에 자격이 부여되어 지원을 받으실 수 있습니다.,긴급 주거지원
180,"주택 문제로 인해 급하게 도움이 필요한데, 어디에 문의해야 하나요?",긴급 주거지원이 필요하시다면 LH마이홈에 문의하시는 것이 좋습니다. 연락하실 수 있는 전화번호는 1600-1004 입니다.,긴급 주거지원
181,제가 살 곳이 없어져서 급히 숙소를 마련해야 하는데 어디서 지원을 받을 수 있을까요?,주거지에 문제가 생겼다면 LH마이홈이 도와드릴 수 있습니다. 여기서 궁금한 점을 문의하시려면 1600-1004로 전화하세요.,긴급 주거지원
182,내 집이 갑자기 날라가서 지원 받을 수 있는 공공기관을 찾고 있어요. 어떻게 연락할 수 있나요?,갑작스런 주거지 손실로 인한 지원은 LH마이홈에서 받으실 수 있습니다. 필요한 도움을 받기 위해 1600-1004번으로 전화해 주세요.,긴급 주거지원
183,긴급상황 발생 시 지원받을 수 있는 복지 제도 이름이 무엇인가요?,가정 내 긴급상황이 발생하였을 때 지원받을 수 있는 복지 제도는 '긴급복지 지원제도'입니다.,긴급복지 지원제도
184,"제 동생이 큰 사고를 당해 장기 요양이 필요한데, 긴급복지 지원제도의 대상이 될 수 있나요?",중한 질병 또는 부상으로 장기 요양이 필요한 경우 긴급복지 지원제도의 대상이 될 수 있습니다. 소득 및 재산 기준을 충족하는지 확인해보시길 바랍니다.,긴급복지 지원제도
185,"가족 중 누군가가 가출했을 때, 어떤 복지 제도를 신청할 수 있나요?",주 소득자의 가출로 인해 생계에 어려움을 겪는 경우 '긴급복지 지원제도'에 신청하여 지원을 받아볼 수 있습니다.,긴급복지 지원제도
186,"자연재해로 인해 집이 파손되었어요, 지원받을 수 있는 제도가 있는지 알고 싶어요.",화재 또는 자연재해 등으로 인해 주거용 건물이 파손되어 생활하기 어려울 때 '긴급복지 지원제도'를 이용할 수 있습니다. 자격 조건을 확인해보세요.,긴급복지 지원제도
187,운영 중인 가게가 화재사고를 당하면서 소득이 없어졌습니다. 어디에 도움을 요청해야 하나요?,사업장의 화재 등으로 소득활동이 중단되어 생계유지가 어려워진 경우 '긴급복지 지원제도'를 통해 지원을 신청할 수 있습니다. 해당 제도는 영업이 어려운 상황에 처한 분들을 지원합니다.,긴급복지 지원제도
188,코로나19로 인해 무급휴직을 하게 되었습니다. 이런 상황에서도 긴급복지 지원제도를 신청할 수 있을까요?,"코로나19로 인한 무급휴직으로 생계에 큰 어려움을 겪고 있다면, '긴급복지 지원제도'의 지원 대상이 될 수 있습니다. 해당 기준에 맞는지 상세히 확인해보세요.",긴급복지 지원제도
189,긴급복지의 생계비 지원은 몇 회까지 가능한가요?,긴급복지 지원제도에서는 생계 지원을 최대 6회까지 받을 수 있습니다.,긴급복지 지원제도
190,"만약 4인 가족이 주거 지원을 받으려 한다면, 대도시 기준으로 지원받을 수 있는 최대 금액은 얼마인가요?","대도시에 거주하는 4인 가구의 경우, 주거 지원을 통해 받을 수 있는 최대 금액은 66만 2500원입니다.",긴급복지 지원제도
191,긴급복지 제도에서 대학생 자녀를 둔 가정이 교육 지원을 신청할 수 있나요?,"아니요, 긴급복지 제도의 교육 지원은 초등학생, 중학생, 고등학생을 대상으로 하며 대학생은 지원 대상이 아닙니다.",긴급복지 지원제도
192,해산비는 쌍둥이를 출산했을 때 얼마를 지원받을 수 있나요?,쌍둥이 출산 시 해산비로 140만 원을 지원받을 수 있습니다.,긴급복지 지원제도
193,긴급복지 지원제도의 동절기 연료비 지원은 몇 월부터 몇 월까지 이루어지나요?,동절기 연료비 지원은 10월부터 이듬해 3월까지 제공됩니다.,긴급복지 지원제도
194,"응급 상황에서 전기요금을 지원받아야 할 때, 최대 몇 원까지 지원 가능한가요?",응급 상황에서 전기요금 지원은 50만 원 이내로 지원 가능합니다.,긴급복지 지원제도
195,긴급한 상황에서 복지 서비스를 받기 위해 어디로 연락해야 하나요?,"긴급복지 지원이 필요할 경우 가까운 시청, 군청, 구청, 읍면동 주민센터(행정복지센터)를 방문하거나, 보건복지상담센터 129번으로 전화하여 도움을 요청할 수 있습니다.",긴급복지 지원제도
196,긴급복지 지원제도 신청을 위해 필요한 상담센터 번호를 알려주세요.,긴급복지 지원제도 신청 및 상담을 위해서는 보건복지상담센터의 129번으로 전화하시면 됩니다.,긴급복지 지원제도
197,"가정 내 긴급 사태로 인해 급하게 복지 지원이 필요할 때, 어떻게 하면 신속하게 지원을 받을 수 있나요?","급박한 상황이 발생했을 때는 지역 내 시청, 군청, 구청 또는 읍면동 주민센터(행정복지센터)에 방문해 지원을 요청하거나, 보건복지상담센터(129번)에 전화하여 긴급복지 서비스를 신청할 수 있습니다.",긴급복지 지원제도
198,집 근처에서 긴급복지 지원제도를 신청할 곳을 찾고 싶습니다. 어디로 가야 하나요?,"집이나 거주 지역 근처의 시청, 군청, 구청, 혹은 읍면동 주민센터(행정복지센터)에서 긴급복지 지원제도 신청을 위한 절차를 진행할 수 있습니다.",긴급복지 지원제도
199,보건복지상담센터와 연락하려고 하는데 전화번호를 잊어버렸어요. 알려줄 수 있나요?,"보건복지상담센터와 연락을 원하실 경우, 전화번호 129번으로 전화해서 긴급복지 상담 및 지원을 요청할 수 있습니다.",긴급복지 지원제도
200,듣기론 긴급복지 지원제도에 관련된 상담을 전화 한 통으로 받을 수 있는 서비스가 있다고 들었어요. 그 번호가 무엇인가요?,"네, 그렇습니다. 긴급복지 관련 상담은 전국 어디서나 이용할 수 있는 보건복지상담센터의 129번 전화를 통해 받으실 수 있습니다.",긴급복지 지원제도
201,긴급한 경제적 도움이 필요한데 어디에 연락해야 하나요?,"긴급한 상황에서 경제적 지원이 필요하다면 가까운 시청, 군청, 구청, 읍면동 주민센터(행정복지센터)에 문의하거나 '129' 번으로 보건복지상담센터에 전화하여 상담받으실 수 있습니다.",긴급복지 지원제도
202,생계 위기 상황인데 긴급복지 지원제도를 어떻게 신청할 수 있나요?,생계 위기 상황 시 긴급복지 지원제도 신청은 귀하의 거주 지역 내 행정복지센터에 방문하여 진행하거나 보건복지상담센터(전화번호: 129)로 연락하여 신청 절차에 대한 안내를 받을 수 있습니다.,긴급복지 지원제도
203,제가 긴급복지 지원제도의 대상이 될 수 있는지 알고 싶어요. 어디에서 확인할 수 있나요?,"긴급복지 지원제도의 지원 자격 여부는 가까운 행정복지센터에서 상담을 통해 확인할 수 있으며, 보건복지상담센터(전화 129) 로 전화하여 자격에 대한 안내를 받을 수도 있습니다.",긴급복지 지원제도
204,"긴급복지지원이 필요한데, 상담센터 전화번호를 잊어버렸어요. 어떻게 연락하죠?",긴급복지 지원을 위한 보건복지상담센터의 전화번호는 '129'번입니다. 이 번호로 전화하시면 필요한 안내와 도움을 받으실 수 있습니다.,긴급복지 지원제도
205,저희 부모님이 갑작스러운 사고로 인해 경제적으로 어려움을 겪고 있어요. 어떻게 도움을 받을 수 있을까요?,"부모님께서 갑작스런 사고로 어려움을 겪고 계시다면, 가까운 행정복지센터에 방문하시거나 보건복지상담센터(전화번호: 129)에 전화하여 긴급복지 지원제도에 대한 안내 및 신청 절차에 대해 문의하실 수 있습니다.",긴급복지 지원제도
206,"경제적으로 위험한 상황에 처했는데, 긴급복지 지원제도에 관한 정보를 받고 싶어요. 어디서 얻을 수 있나요?","경제적으로 급박한 상황에 처하셨다면, 최신의 긴급복지 지원제도 정보와 상담을 위해 가까운 행정복지센터 또는 보건복지상담센터(전화번호: 129)를 통해 도움을 요청하실 수 있습니다.",긴급복지 지원제도
207,긴급복지 지원제도에서 제시하는 2022년 7월 1일 이후 적용되는 주거용재산 공제한도액의 기준은 무엇인가요?,"긴급복지 지원제도 안에서는 2022년 7월 1일 이후, 실제로 거주하는 주택 1개소에 대해 주거용재산 공제한도액을 적용하는데, 이는 대도시의 경우 6900만 원, 중소도시는 4200만 원, 그리고 농어촌 지역은 3500만 원으로 설정되어 있습니다.",긴급복지 지원제도
208,긴급복지 지원제도의 주거용재산 공제한도액을 알고 싶습니다. 서울에 사는 경우 어떻게 계산되나요?,"서울은 대도시에 해당하므로, 긴급복지 지원제도에서는 2022년 7월 1일부터 주거용재산 공제한도액으로 6900만 원을 적용하게 됩니다.",긴급복지 지원제도
209,"제가 사는 지역이 중소도시에 속하는데, 긴급복지 지원제도에서 중소도시 주거용재산 공제한도액은 얼마인가요?",긴급복지 지원제도 하에서 중소도시 주거용재산 공제한도액은 4200만 원으로 설정되어 있습니다.,긴급복지 지원제도
210,긴급복지 지원제도의 주거용재산 공제한도액 적용 조건에 대해 자세히 설명해 줄 수 있나요?,"긴급복지 지원제도는 현금화가 어려운 실거주 주택에 한해 주거용재산 공제한도액을 적용합니다. 이 규정은 실제 거주 중인 주택 1개소에만 적용되며, 지역별로 다르게 설정된 한도액이 있습니다.",긴급복지 지원제도
211,"현재 거주 중인 집이 농어촌 지역에 있다면, 긴급복지 지원제도상 주거용재산 공제한도액은 얼마인가요?","농어촌 지역에 있는 주택의 경우, 긴급복지 지원제도에서는 주거용재산 공제한도액으로 3500만 원을 적용합니다.",긴급복지 지원제도
212,긴급복지 지원제도에 따른 주거용재산 공제한도액 적용시 주택 수에는 어떤 제한이 있나요?,"해당 제도에서는 주거용재산 공제한도액을 실제로 거주 중인 주택 1개소에만 적용합니다. 즉, 본인이 소유하고 있으나 거주하지 않는 다른 주택에 대해서는 공제한도액이 적용되지 않습니다.",긴급복지 지원제도
213,2023년 긴급복지 지원제도의 주요 변경 사항 중 하나는 무엇인가요?,2023년에는 최저생활보장을 위한 기준 중위소득 상향(5.47%)에 따라 생계지원 금액이 인상됩니다.,긴급복지 지원제도
214,올해 긴급복지 지원제도의 주거 지원금액이 어떻게 조정되었나요?,주거 지원에 대한 금액이 물가상승률을 반영하여 인상되었습니다.,긴급복지 지원제도
215,긴급복지 지원제도 내에서 사회복지시설 이용 지원금액에 변동이 생겼나요?,"네, 2023년도 긴급복지 사회복지시설 이용 지원금액이 상향 조정되었습니다.",긴급복지 지원제도
216,2023년도 긴급복지 지원제도의 교육 지원금은 어떻게 달라졌습니까?,교육 지원에 대한 금액이 인상되어 더 많은 지원을 받을 수 있게 되었습니다.,긴급복지 지원제도
217,연료비 지원에 관련된 긴급복지 지원제도의 변경 사항을 설명해주세요.,"연료비에 대한 지원금액이 2023년에 인상되었으며, 이는 구체적인 물가상승률을 반영한 결과입니다.",긴급복지 지원제도
218,중위소득 상향 조정이 긴급복지 생계지원에 어떤 영향을 미쳤습니까?,중위소득의 상향 조정은 생계지원 금액의 인상으로 이어져 최저생활보장 수준을 더욱 강화했습니다.,긴급복지 지원제도
219,긴급복지 지원제도 신청을 위해 가족이 대신 신청할 수도 있나요?,"네, 긴급복지 지원제도는 본인 뿐만 아니라 가족이나 친족 등 관계인이 대신 신청할 수 있습니다. 구술이나 서면을 통해 읍면동 주민센터나 시군구청에 요청하면 됩니다.",긴급복지 지원제도
220,긴급복지 지원에 필요한 서류는 따로 준비해야 하는 건가요?,긴급복지 지원제도의 경우 별도의 신청서류를 준비할 필요가 없습니다. 요청 사항을 구두나 서면으로 전달하면 신청 절차를 진행할 수 있습니다.,긴급복지 지원제도
221,긴급복지 지원을 신청하고자 할 때 어떻게 해야 하나요?,긴급복지 지원 신청은 가까운 읍면동 주민센터나 시군구청을 통해 구술이나 서면으로 요청하실 수 있습니다. 신청서류는 필요하지 않습니다.,긴급복지 지원제도
222,보건복지상담센터에 전화를 하면 긴급복지 지원제도에 대해 어떤 도움을 받을 수 있나요?,보건복지상담센터에 전화하면 긴급복지 지원제도와 관련된 다양한 정보 제공 및 상담을 받으실 수 있습니다. 전화번호는 129입니다.,긴급복지 지원제도
223,만약 긴급복지 지원 신청을 위해 내가 방문할 수 없다면 어떻게 해야 하나요?,"직접 방문이 어렵다면 다른 가족, 친족, 또는 관계인이 대신하여 읍면동 주민센터나 시군구청에 지원을 요청할 수 있습니다. 구술이나 서면으로 신청이 가능합니다.",긴급복지 지원제도
224,긴급복지 지원을 받으려면 특별한 신청서가 필요한가요?,"아니요, 긴급복지 지원제도를 신청하기 위해 특별한 신청서는 필요 없으며, 간단히 구술 신청이나 서면 신청으로 요청할 수 있습니다.",긴급복지 지원제도
225,"만약 제가 연소득이 5800만 원이고 아이가 둘 있는 가구라면, 내집 마련 디딤돌대출을 받을 수 있나요?","네, 부부합산 연소득 6000만 원 이하, 2자녀 가구는 최대 7000만 원까지 허용되므로 신청 조건에 부합합니다.",내집 마련 디딤돌대출 (주택구입 시)
226,"31세 단독세대주인데 순자산가액이 5억 원인 경우, 디딤돌대출을 신청할 수 있는 자격이 되나요?","네, 만 30세 이상 단독세대주면서 순자산가액 5억 600만 원 이하인 경우 자격 요건에 맞으므로 대출 신청이 가능합니다.",내집 마련 디딤돌대출 (주택구입 시)
227,"생애 최초로 주택을 구입하는데 부부합산 연소득이 7100만 원인 경우, 디딤돌대출의 지원을 받을 수 없나요?","네, 안타깝게도 생애 최초 주택구입자의 경우 부부합산 연소득 한도가 7000만 원이므로, 연소득 7100만 원은 조건을 초과하여 대출 지원을 받을 수 없습니다.",내집 마련 디딤돌대출 (주택구입 시)
228,"신혼부부로서 제가 이번에 첫 집을 구매하려 하는데, 우리 부부의 합산 연입이 6800만 원일 때, 디딤돌대출 신청이 가능할까요?","네, 신혼부부는 부부합산 연소득이 최대 7000만 원까지 허용되므로, 연소득 6800만 원인 경우 조건에 부합하여 대출 신청이 가능합니다.",내집 마련 디딤돌대출 (주택구입 시)
229,"저는 현재 무주택 세대주인데, 순자산이 6억 원이 넘어요. 이런 경우에도 디딤돌대출을 이용할 수 있나요?","아니요, 디딤돌대출의 순자산가액 한도는 5억 600만 원 이하이므로, 순자산 6억 원은 한도를 초과하게 되어 대출 신청 자격에 해당하지 않습니다.",내집 마련 디딤돌대출 (주택구입 시)
230,"만약 부부합산 연소득이 7200만 원이고 아이가 셋 있는 다자녀가구인 경우, 디딤돌대출 신청이 가능한가요?","네, 다자녀가구의 경우 부부합산 연소득 한도가 7000만 원까지 허용되며, 자녀 수에 대한 추가적인 혜택이 있을 수 있으니, 상세한 조건은 신청 기준을 확인하시는 것이 좋습니다.",내집 마련 디딤돌대출 (주택구입 시)
231,"신혼부부가 내집 마련 디딤돌대출을 받으려고 하는데, 대출 가능한 최대 금액이 얼마인가요?",신혼부부의 경우 내집 마련 디딤돌대출을 통해 최대 4억 원까지 대출이 가능합니다.,내집 마련 디딤돌대출 (주택구입 시)
232,읍·면 지역에서 우리 가족이 사려는 집이 92㎡인데 디딤돌대출을 받을 수 있나요?,"예, 읍·면 지역에서는 전용면적 100㎡ 이하의 주택 구입 시 내집 마련 디딤돌대출을 신청할 수 있습니다.",내집 마련 디딤돌대출 (주택구입 시)
233,내집 마련 디딤돌대출을 이용할 때 주택의 가격 제한이 있나요?,"네, 구입 대상 주택 가격은 5억 원 이하여야 하며, 신혼부부 및 2자녀 가구는 6억 원, 단독세대주는 3억 원 이하인 주택이어야 합니다.",내집 마련 디딤돌대출 (주택구입 시)
234,디딤돌대출의 이자율은 어떻게 적용되나요?,"소득별로 차등 적용되며, 연 2.15% 이상 3.00% 이하의 저금리로 대출이 이루어지고, 주택 최초 구입 신혼부부는 1.85% 이상 2.70% 이하의 금리가 적용됩니다.",내집 마련 디딤돌대출 (주택구입 시)
235,2자녀 가구의 경우 내집 마련 디딤돌대출 한도가 어떻게 되나요?,2자녀 가구는 최대 4억 원까지 대출을 받을 수 있습니다.,내집 마련 디딤돌대출 (주택구입 시)
236,"내집 마련 디딤돌대출의 상환 기간은 어떻게 되며, 거치 기간은 무엇인가요?","상환 기간은 10년, 15년, 20년, 30년 중 선택할 수 있고, 거치 기간은 1년이거나 비거치로 선택할 수 있습니다.",내집 마련 디딤돌대출 (주택구입 시)
237,주택 구입 시 지원받을 수 있는 '내집 마련 디딤돌대출' 신청 절차는 어떻게 되나요?,"내집 마련 디딤돌대출 신청은 주택도시기금의 수탁은행인 우리은행, KB국민은행, 신한은행, NH농협은행, IBK기업은행에 직접 방문해 신청할 수 있으며, 기금e든든 웹사이트(http://enhuf.molit.go.kr)를 통해 온라인(모바일)으로도 신청 가능합니다.",내집 마련 디딤돌대출 (주택구입 시)
238,내집 마련 디딤돌대출'은 어떤 은행을 통해 신청할 수 있나요?,"내집 마련 디딤돌대출은 우리은행, KB국민은행, 신한은행, NH농협은행, IBK기업은행 등 주택도시기금 수탁은행을 통해 신청할 수 있습니다.",내집 마련 디딤돌대출 (주택구입 시)
239,내집 마련 디딤돌대출 온라인 신청을 위한 웹사이트 주소는 무엇인가요?,내집 마련 디딤돌대출의 온라인 신청은 기금e든든 웹사이트(http://enhuf.molit.go.kr)에서 할 수 있습니다.,내집 마련 디딤돌대출 (주택구입 시)
240,기금e든든' 사이트를 통한 대출 신청이 가능한 내집 마련 지원 제도의 이름은 무엇인가요?,기금e든든 사이트를 통해 대출 신청이 가능한 내집 마련 지원 제도는 '내집 마련 디딤돌대출'입니다.,내집 마련 디딤돌대출 (주택구입 시)
241,주택도시기금 수탁은행이 아닌 곳에서 '내집 마련 디딤돌대출'을 신청할 수 있나요?,"아니요, '내집 마련 디딤돌대출'은 오직 주택도시기금의 수탁은행인 우리은행, KB국민은행, 신한은행, NH농협은행, IBK기업은행에서만 신청이 가능합니다.",내집 마련 디딤돌대출 (주택구입 시)
242,내집 마련 디딤돌대출에 관해 정보를 얻고 신청하고자 한다면 어디로 연락해야 하나요?,"내집 마련 디딤돌대출에 대한 정보와 신청은 주택도시기금 수탁은행에 직접 문의하거나, 기금e든든(http://enhuf.molit.go.kr) 사이트를 통해 온라인으로 진행할 수 있습니다.",내집 마련 디딤돌대출 (주택구입 시)
243,"""내집 마련을 위한 디딤돌대출 신청 프로세스를 알고 싶어요. 어디서 정보를 얻을 수 있나요?""","내집 마련 디딤돌대출과 관련된 사항은 주택도시기금에 문의하시면 도움을 받으실 수 있습니다. 주택도시기금은 1566-9009 번으로 전화하거나, 그들의 웹사이트(http://nhuf.molit.go.kr)를 방문하셔서 자세한 정보를 얻으실 수 있습니다. 또한, 해당 대출에 대한 일정은 한국주택금융공사에 문의하실 수도 있고, 전화번호는 1688-8114, 웹사이트 주소는 http://www.hf.go.kr 입니다.",내집 마련 디딤돌대출 (주택구입 시)
244,"""디딤돌대출을 받기 위해 가야 할 은행은 어디인가요?""","디딤돌대출을 신청하려면 주택도시기금 수탁은행 중 하나를 방문하시면 됩니다. 해당 은행으로는 우리, KB국민, 신한, NH농협, IBK기업 은행이 있으며, 가장 가까운 지점을 이용하시는 것이 좋습니다.",내집 마련 디딤돌대출 (주택구입 시)
245,"""주택도시기금의 고객센터 운영 시간을 알려주세요.""",주택도시기금 고객센터의 정확한 운영 시간은 그들의 웹사이트(http://nhuf.molit.go.kr) 내 고객센터 안내 페이지에서 확인하실 수 있습니다. 또는 1566-9009 번으로 직접 전화하여 문의하셔도 됩니다.,내집 마련 디딤돌대출 (주택구입 시)
246,"""한국주택금융공사와 상담을 원해요. 어떻게 연락할 수 있나요?""",한국주택금융공사와 상담하고자 한다면 1688-8114 번으로 전화하시거나(http://www.hf.go.kr) 웹사이트를 통해 온라인 상담을 요청하실 수 있습니다.,내집 마련 디딤돌대출 (주택구입 시)
247,"""디딤돌대출을 위한 서류 준비는 어떻게 하면 되나요?""",디딤돌대출 신청을 위한 서류 준비에 대한 정확한 지침은 주택도시기금 웹사이트(http://nhuf.molit.go.kr)에서 안내받으실 수 있습니다. 해당 사이트에서는 필요한 서류 목록과 양식 다운로드도 가능합니다.,내집 마련 디딤돌대출 (주택구입 시)
248,"""내집 마련 디딤돌대출 이자율이 얼마인지 궁금합니다, 정보를 어디서 얻을 수 있죠?""","디딤돌대출의 이자율에 대한 최신 정보는 주택도시기금 고객센터(http://nhuf.molit.go.kr)에 문의하거나, 한국주택금융공사(http://www.hf.go.kr)로 연락하여 확인하실 수 있습니다.",내집 마련 디딤돌대출 (주택구입 시)
249,영구 임대주택 리모델링 지원 서비스 신청 자격을 알고 싶어요. 어떤 조건이 필요한가요?,리모델링 지원을 받으려면 해당 영구 임대주택이 준공된 지 15년 이상이 경과해야 합니다.,노후 영구 임대주택 리모델링
250,"우리 집이 영구 임대주택인데, 리모델링을 위한 지원을 받을 수 있을까요?","가능합니다, 단 우리 집이 영구 임대주택으로서 준공된 지 15년이 넘었어야 합니다.",노후 영구 임대주택 리모델링
251,"아버지께서 영구 임대아파트에 사시는데, 주거 환경이 낡아 걱정이에요. 개선할 방법이 있을까요?","네, 만약 해당 영구 임대아파트가 준공된 지 15년이 지났다면, 리모델링 지원 대상이 되어 주거 환경 개선을 도모할 수 있습니다.",노후 영구 임대주택 리모델링
252,노후 주택의 난방비용 절감을 위해 정부 지원을 받을 수 있는 방법이 있다면 알려주세요.,노후 영구 임대주택에 거주하시는 분들을 대상으로 정부에서 에너지성능강화 공사비를 지원해주는 제도가 있습니다. 이를 통해 난방 효율을 높임으로써 난방비용을 절감할 수 있습니다.,노후 영구 임대주택 리모델링
